benchmark_label,mode,quantization_type,prompt_id,context_bucket,spec_k,sparsity_budget,quant_bits_effective,trial_index,fp16_dense_draft_bytes_baseline,logical_draft_kv_bytes,effective_compression_ratio,tokens_per_sec,quantization_factor_bits_over_16
spec_fp16,speculative_fp16,none,scale-long-01,long,1,0.0,16,0,222412800.0,222412800,1.0,24.58151744862875,
spec_fp16,speculative_fp16,none,scale-long-01,long,1,0.0,16,0,232243200.0,232243200,1.0,24.824965577606942,
spec_fp16,speculative_fp16,none,scale-long-01,long,1,0.0,16,1,222412800.0,222412800,1.0,24.18649939398509,
spec_fp16,speculative_fp16,none,scale-long-01,long,1,0.0,16,1,232243200.0,232243200,1.0,24.97021726105872,
spec_fp16,speculative_fp16,none,scale-long-02,long,1,0.0,16,0,222412800.0,222412800,1.0,24.3876961688935,
spec_fp16,speculative_fp16,none,scale-long-02,long,1,0.0,16,0,232243200.0,232243200,1.0,24.973339457823982,
spec_fp16,speculative_fp16,none,scale-long-02,long,1,0.0,16,1,222412800.0,222412800,1.0,24.14545610898228,
spec_fp16,speculative_fp16,none,scale-long-02,long,1,0.0,16,1,232243200.0,232243200,1.0,25.06984975248365,
spec_fp16,speculative_fp16,none,scale-long-03,long,1,0.0,16,0,251904000.0,251904000,1.0,23.68678838910473,
spec_fp16,speculative_fp16,none,scale-long-03,long,1,0.0,16,0,261734400.0,261734400,1.0,25.3887759256873,
spec_fp16,speculative_fp16,none,scale-long-03,long,1,0.0,16,1,251904000.0,251904000,1.0,23.515897455095672,
spec_fp16,speculative_fp16,none,scale-long-03,long,1,0.0,16,1,261734400.0,261734400,1.0,25.689019120095672,
spec_fp16,speculative_fp16,none,scale-long-04,long,1,0.0,16,0,251904000.0,251904000,1.0,23.776160443099233,
spec_fp16,speculative_fp16,none,scale-long-04,long,1,0.0,16,0,261734400.0,261734400,1.0,25.300843754535727,
spec_fp16,speculative_fp16,none,scale-long-04,long,1,0.0,16,1,251904000.0,251904000,1.0,23.75294001179871,
spec_fp16,speculative_fp16,none,scale-long-04,long,1,0.0,16,1,261734400.0,261734400,1.0,25.750522143351155,
spec_fp16,speculative_fp16,none,scale-long-05,long,1,0.0,16,0,251904000.0,251904000,1.0,23.687008749019608,
spec_fp16,speculative_fp16,none,scale-long-05,long,1,0.0,16,0,261734400.0,261734400,1.0,24.88402471732796,
spec_fp16,speculative_fp16,none,scale-long-05,long,1,0.0,16,1,251904000.0,251904000,1.0,24.500254883424297,
spec_fp16,speculative_fp16,none,scale-long-05,long,1,0.0,16,1,261734400.0,261734400,1.0,24.752729141077054,
spec_fp16,speculative_fp16,none,scale-long-06,long,1,0.0,16,0,281395200.0,281395200,1.0,23.67543938543291,
spec_fp16,speculative_fp16,none,scale-long-06,long,1,0.0,16,0,291225600.0,291225600,1.0,25.291379493530687,
spec_fp16,speculative_fp16,none,scale-long-06,long,1,0.0,16,1,281395200.0,281395200,1.0,24.03074343122431,
spec_fp16,speculative_fp16,none,scale-long-06,long,1,0.0,16,1,291225600.0,291225600,1.0,24.5369528872,
spec_fp16,speculative_fp16,none,scale-long-01,long,3,0.0,16,0,222412800.0,222412800,1.0,35.13437998929361,
spec_fp16,speculative_fp16,none,scale-long-01,long,3,0.0,16,0,232243200.0,232243200,1.0,38.26986661746982,
spec_fp16,speculative_fp16,none,scale-long-01,long,3,0.0,16,1,222412800.0,222412800,1.0,35.64553248392566,
spec_fp16,speculative_fp16,none,scale-long-01,long,3,0.0,16,1,232243200.0,232243200,1.0,35.779720493749345,
spec_fp16,speculative_fp16,none,scale-long-02,long,3,0.0,16,0,222412800.0,222412800,1.0,35.791917864832094,
spec_fp16,speculative_fp16,none,scale-long-02,long,3,0.0,16,0,232243200.0,232243200,1.0,38.06324410335663,
spec_fp16,speculative_fp16,none,scale-long-02,long,3,0.0,16,1,222412800.0,222412800,1.0,35.660736302937686,
spec_fp16,speculative_fp16,none,scale-long-02,long,3,0.0,16,1,232243200.0,232243200,1.0,36.570042650375434,
spec_fp16,speculative_fp16,none,scale-long-03,long,3,0.0,16,0,251904000.0,251904000,1.0,34.960700900088604,
spec_fp16,speculative_fp16,none,scale-long-03,long,3,0.0,16,0,261734400.0,261734400,1.0,37.179046363548544,
spec_fp16,speculative_fp16,none,scale-long-03,long,3,0.0,16,1,251904000.0,251904000,1.0,34.98393508183367,
spec_fp16,speculative_fp16,none,scale-long-03,long,3,0.0,16,1,261734400.0,261734400,1.0,37.2956761191428,
spec_fp16,speculative_fp16,none,scale-long-04,long,3,0.0,16,0,251904000.0,251904000,1.0,34.970730738743164,
spec_fp16,speculative_fp16,none,scale-long-04,long,3,0.0,16,0,261734400.0,261734400,1.0,38.298456934276494,
spec_fp16,speculative_fp16,none,scale-long-04,long,3,0.0,16,1,251904000.0,251904000,1.0,35.02294102781235,
spec_fp16,speculative_fp16,none,scale-long-04,long,3,0.0,16,1,261734400.0,261734400,1.0,37.61995652167514,
spec_fp16,speculative_fp16,none,scale-long-05,long,3,0.0,16,0,251904000.0,251904000,1.0,35.22445468334029,
spec_fp16,speculative_fp16,none,scale-long-05,long,3,0.0,16,0,261734400.0,261734400,1.0,39.209897096605104,
spec_fp16,speculative_fp16,none,scale-long-05,long,3,0.0,16,1,251904000.0,251904000,1.0,35.305009943537556,
spec_fp16,speculative_fp16,none,scale-long-05,long,3,0.0,16,1,261734400.0,261734400,1.0,39.019880996983986,
spec_fp16,speculative_fp16,none,scale-long-06,long,3,0.0,16,0,281395200.0,281395200,1.0,34.725927639972774,
spec_fp16,speculative_fp16,none,scale-long-06,long,3,0.0,16,0,291225600.0,291225600,1.0,37.516464804022384,
spec_fp16,speculative_fp16,none,scale-long-06,long,3,0.0,16,1,281395200.0,281395200,1.0,35.311994526043314,
spec_fp16,speculative_fp16,none,scale-long-06,long,3,0.0,16,1,291225600.0,291225600,1.0,38.80920402212641,
spec_fp16,speculative_fp16,none,scale-long-01,long,5,0.0,16,0,222412800.0,222412800,1.0,40.07000575609471,
spec_fp16,speculative_fp16,none,scale-long-01,long,5,0.0,16,0,232243200.0,232243200,1.0,43.13044451224357,
spec_fp16,speculative_fp16,none,scale-long-01,long,5,0.0,16,1,222412800.0,222412800,1.0,40.263776353621424,
spec_fp16,speculative_fp16,none,scale-long-01,long,5,0.0,16,1,232243200.0,232243200,1.0,44.723941092736545,
spec_fp16,speculative_fp16,none,scale-long-02,long,5,0.0,16,0,222412800.0,222412800,1.0,40.35347474880552,
spec_fp16,speculative_fp16,none,scale-long-02,long,5,0.0,16,0,232243200.0,232243200,1.0,44.891274766893474,
spec_fp16,speculative_fp16,none,scale-long-02,long,5,0.0,16,1,222412800.0,222412800,1.0,39.79907338305084,
spec_fp16,speculative_fp16,none,scale-long-02,long,5,0.0,16,1,232243200.0,232243200,1.0,45.71543695961729,
spec_fp16,speculative_fp16,none,scale-long-03,long,5,0.0,16,0,251904000.0,251904000,1.0,39.87818212315968,
spec_fp16,speculative_fp16,none,scale-long-03,long,5,0.0,16,0,261734400.0,261734400,1.0,44.619182645298864,
spec_fp16,speculative_fp16,none,scale-long-03,long,5,0.0,16,1,251904000.0,251904000,1.0,39.97956619384482,
spec_fp16,speculative_fp16,none,scale-long-03,long,5,0.0,16,1,261734400.0,261734400,1.0,45.15299958098691,
spec_fp16,speculative_fp16,none,scale-long-04,long,5,0.0,16,0,251904000.0,251904000,1.0,39.649514695080306,
spec_fp16,speculative_fp16,none,scale-long-04,long,5,0.0,16,0,261734400.0,261734400,1.0,44.42392392343973,
spec_fp16,speculative_fp16,none,scale-long-04,long,5,0.0,16,1,251904000.0,251904000,1.0,40.1334294054098,
spec_fp16,speculative_fp16,none,scale-long-04,long,5,0.0,16,1,261734400.0,261734400,1.0,44.38206114266308,
spec_fp16,speculative_fp16,none,scale-long-05,long,5,0.0,16,0,251904000.0,251904000,1.0,39.97742469830226,
spec_fp16,speculative_fp16,none,scale-long-05,long,5,0.0,16,0,261734400.0,261734400,1.0,44.162311828561755,
spec_fp16,speculative_fp16,none,scale-long-05,long,5,0.0,16,1,251904000.0,251904000,1.0,39.66154690052314,
spec_fp16,speculative_fp16,none,scale-long-05,long,5,0.0,16,1,261734400.0,261734400,1.0,43.70618906122278,
spec_fp16,speculative_fp16,none,scale-long-06,long,5,0.0,16,0,281395200.0,281395200,1.0,39.612819352050366,
spec_fp16,speculative_fp16,none,scale-long-06,long,5,0.0,16,0,291225600.0,291225600,1.0,42.95208213568059,
spec_fp16,speculative_fp16,none,scale-long-06,long,5,0.0,16,1,281395200.0,281395200,1.0,39.58401313979343,
spec_fp16,speculative_fp16,none,scale-long-06,long,5,0.0,16,1,291225600.0,291225600,1.0,43.88932738550032,
spec_fp16,speculative_fp16,none,scale-long-01,long,7,0.0,16,0,222412800.0,222412800,1.0,41.16393157039354,
spec_fp16,speculative_fp16,none,scale-long-01,long,7,0.0,16,0,232243200.0,232243200,1.0,47.305925824289474,
spec_fp16,speculative_fp16,none,scale-long-01,long,7,0.0,16,1,222412800.0,222412800,1.0,43.09444784021691,
spec_fp16,speculative_fp16,none,scale-long-01,long,7,0.0,16,1,232243200.0,232243200,1.0,46.67591226049334,
spec_fp16,speculative_fp16,none,scale-long-02,long,7,0.0,16,0,222412800.0,222412800,1.0,42.2290330086449,
spec_fp16,speculative_fp16,none,scale-long-02,long,7,0.0,16,0,232243200.0,232243200,1.0,47.42043032210744,
spec_fp16,speculative_fp16,none,scale-long-02,long,7,0.0,16,1,222412800.0,222412800,1.0,38.47184683567889,
spec_fp16,speculative_fp16,none,scale-long-02,long,7,0.0,16,1,232243200.0,232243200,1.0,47.14304398820069,
spec_fp16,speculative_fp16,none,scale-long-03,long,7,0.0,16,0,251904000.0,251904000,1.0,42.79489741138992,
spec_fp16,speculative_fp16,none,scale-long-03,long,7,0.0,16,0,261734400.0,261734400,1.0,45.69132353959205,
spec_fp16,speculative_fp16,none,scale-long-03,long,7,0.0,16,1,251904000.0,251904000,1.0,42.598828883646064,
spec_fp16,speculative_fp16,none,scale-long-03,long,7,0.0,16,1,261734400.0,261734400,1.0,45.23544177727513,
spec_fp16,speculative_fp16,none,scale-long-04,long,7,0.0,16,0,251904000.0,251904000,1.0,42.21173698798006,
spec_fp16,speculative_fp16,none,scale-long-04,long,7,0.0,16,0,261734400.0,261734400,1.0,44.72158203856024,
spec_fp16,speculative_fp16,none,scale-long-04,long,7,0.0,16,1,251904000.0,251904000,1.0,42.4790691289775,
spec_fp16,speculative_fp16,none,scale-long-04,long,7,0.0,16,1,261734400.0,261734400,1.0,46.88356356448791,
spec_fp16,speculative_fp16,none,scale-long-05,long,7,0.0,16,0,251904000.0,251904000,1.0,42.64543691526304,
spec_fp16,speculative_fp16,none,scale-long-05,long,7,0.0,16,0,261734400.0,261734400,1.0,45.620813262539826,
spec_fp16,speculative_fp16,none,scale-long-05,long,7,0.0,16,1,251904000.0,251904000,1.0,40.48686472059021,
spec_fp16,speculative_fp16,none,scale-long-05,long,7,0.0,16,1,261734400.0,261734400,1.0,45.45835320513631,
spec_fp16,speculative_fp16,none,scale-long-06,long,7,0.0,16,0,281395200.0,281395200,1.0,42.196483237749874,
spec_fp16,speculative_fp16,none,scale-long-06,long,7,0.0,16,0,291225600.0,291225600,1.0,45.44112489598142,
spec_fp16,speculative_fp16,none,scale-long-06,long,7,0.0,16,1,281395200.0,281395200,1.0,42.06347879242181,
spec_fp16,speculative_fp16,none,scale-long-06,long,7,0.0,16,1,291225600.0,291225600,1.0,44.754230054726264,
spec_fp16,speculative_fp16,none,scale-med-01,medium,1,0.0,16,0,102604800.0,102604800,1.0,24.77211684589397,
spec_fp16,speculative_fp16,none,scale-med-01,medium,1,0.0,16,0,112435200.0,112435200,1.0,26.087100553715143,
spec_fp16,speculative_fp16,none,scale-med-01,medium,1,0.0,16,1,102604800.0,102604800,1.0,24.952013379518934,
spec_fp16,speculative_fp16,none,scale-med-01,medium,1,0.0,16,1,112435200.0,112435200,1.0,25.72710374755833,
spec_fp16,speculative_fp16,none,scale-med-02,medium,1,0.0,16,0,103526400.0,103526400,1.0,24.769032832505847,
spec_fp16,speculative_fp16,none,scale-med-02,medium,1,0.0,16,0,113356800.0,113356800,1.0,25.95361241505947,
spec_fp16,speculative_fp16,none,scale-med-02,medium,1,0.0,16,1,103526400.0,103526400,1.0,24.981164241194428,
spec_fp16,speculative_fp16,none,scale-med-02,medium,1,0.0,16,1,113356800.0,113356800,1.0,26.048153076516545,
spec_fp16,speculative_fp16,none,scale-med-01,medium,3,0.0,16,0,102604800.0,102604800,1.0,36.63572808432899,
spec_fp16,speculative_fp16,none,scale-med-01,medium,3,0.0,16,0,112435200.0,112435200,1.0,39.07575348716605,
spec_fp16,speculative_fp16,none,scale-med-01,medium,3,0.0,16,1,102604800.0,102604800,1.0,37.41276954106943,
spec_fp16,speculative_fp16,none,scale-med-01,medium,3,0.0,16,1,112435200.0,112435200,1.0,39.0588658376254,
spec_fp16,speculative_fp16,none,scale-med-02,medium,3,0.0,16,0,103526400.0,103526400,1.0,37.052012354016654,
spec_fp16,speculative_fp16,none,scale-med-02,medium,3,0.0,16,0,113356800.0,113356800,1.0,39.03610507428466,
spec_fp16,speculative_fp16,none,scale-med-02,medium,3,0.0,16,1,103526400.0,103526400,1.0,37.38618445006802,
spec_fp16,speculative_fp16,none,scale-med-02,medium,3,0.0,16,1,113356800.0,113356800,1.0,37.940851485922195,
spec_fp16,speculative_fp16,none,scale-med-01,medium,5,0.0,16,0,102604800.0,102604800,1.0,42.438986596254466,
spec_fp16,speculative_fp16,none,scale-med-01,medium,5,0.0,16,0,112435200.0,112435200,1.0,44.94895542191507,
spec_fp16,speculative_fp16,none,scale-med-01,medium,5,0.0,16,1,102604800.0,102604800,1.0,41.749869318016465,
spec_fp16,speculative_fp16,none,scale-med-01,medium,5,0.0,16,1,112435200.0,112435200,1.0,46.58065671643448,
spec_fp16,speculative_fp16,none,scale-med-02,medium,5,0.0,16,0,103526400.0,103526400,1.0,42.319780846272664,
spec_fp16,speculative_fp16,none,scale-med-02,medium,5,0.0,16,0,113356800.0,113356800,1.0,47.20254587586755,
spec_fp16,speculative_fp16,none,scale-med-02,medium,5,0.0,16,1,103526400.0,103526400,1.0,42.44982036250725,
spec_fp16,speculative_fp16,none,scale-med-02,medium,5,0.0,16,1,113356800.0,113356800,1.0,46.757258431114835,
spec_fp16,speculative_fp16,none,scale-med-01,medium,7,0.0,16,0,102604800.0,102604800,1.0,44.58076449680707,
spec_fp16,speculative_fp16,none,scale-med-01,medium,7,0.0,16,0,112435200.0,112435200,1.0,47.76590399753909,
spec_fp16,speculative_fp16,none,scale-med-01,medium,7,0.0,16,1,102604800.0,102604800,1.0,45.185081014750615,
spec_fp16,speculative_fp16,none,scale-med-01,medium,7,0.0,16,1,112435200.0,112435200,1.0,47.081476955111015,
spec_fp16,speculative_fp16,none,scale-med-02,medium,7,0.0,16,0,103526400.0,103526400,1.0,45.116170649968446,
spec_fp16,speculative_fp16,none,scale-med-02,medium,7,0.0,16,0,113356800.0,113356800,1.0,47.0505759094275,
spec_fp16,speculative_fp16,none,scale-med-02,medium,7,0.0,16,1,103526400.0,103526400,1.0,44.87806333575893,
spec_fp16,speculative_fp16,none,scale-med-02,medium,7,0.0,16,1,113356800.0,113356800,1.0,48.22870317513924,
spec_fp16,speculative_fp16,none,mt-001,short,1,0.0,16,0,16896000.0,16896000,1.0,26.21249637251819,
spec_fp16,speculative_fp16,none,mt-001,short,1,0.0,16,0,26726400.0,26726400,1.0,26.60096976397625,
spec_fp16,speculative_fp16,none,mt-001,short,1,0.0,16,1,16896000.0,16896000,1.0,25.573408626499116,
spec_fp16,speculative_fp16,none,mt-001,short,1,0.0,16,1,26726400.0,26726400,1.0,27.558887735509504,
spec_fp16,speculative_fp16,none,mt-002,short,1,0.0,16,0,15360000.0,15360000,1.0,25.54852734108824,
spec_fp16,speculative_fp16,none,mt-002,short,1,0.0,16,0,25190400.0,25190400,1.0,26.91640049594742,
spec_fp16,speculative_fp16,none,mt-002,short,1,0.0,16,1,15360000.0,15360000,1.0,25.70371116390829,
spec_fp16,speculative_fp16,none,mt-002,short,1,0.0,16,1,25190400.0,25190400,1.0,26.5752749714866,
spec_fp16,speculative_fp16,none,mt-003,short,1,0.0,16,0,16896000.0,16896000,1.0,25.596361364607787,
spec_fp16,speculative_fp16,none,mt-003,short,1,0.0,16,0,26726400.0,26726400,1.0,26.993076405361233,
spec_fp16,speculative_fp16,none,mt-003,short,1,0.0,16,1,16896000.0,16896000,1.0,25.813973971460047,
spec_fp16,speculative_fp16,none,mt-003,short,1,0.0,16,1,26726400.0,26726400,1.0,27.141630487171117,
spec_fp16,speculative_fp16,none,mt-004,short,1,0.0,16,0,15974400.0,15974400,1.0,25.775219986709654,
spec_fp16,speculative_fp16,none,mt-004,short,1,0.0,16,0,25804800.0,25804800,1.0,27.062737417627236,
spec_fp16,speculative_fp16,none,mt-004,short,1,0.0,16,1,15974400.0,15974400,1.0,26.192658111005017,
spec_fp16,speculative_fp16,none,mt-004,short,1,0.0,16,1,25804800.0,25804800,1.0,26.521832981138235,
spec_fp16,speculative_fp16,none,mt-005,short,1,0.0,16,0,16281600.0,16281600,1.0,25.968363058153347,
spec_fp16,speculative_fp16,none,mt-005,short,1,0.0,16,0,26112000.0,26112000,1.0,27.336366376362385,
spec_fp16,speculative_fp16,none,mt-005,short,1,0.0,16,1,16281600.0,16281600,1.0,25.795017659289503,
spec_fp16,speculative_fp16,none,mt-005,short,1,0.0,16,1,26112000.0,26112000,1.0,25.69873470323,
spec_fp16,speculative_fp16,none,mt-006,short,1,0.0,16,0,15360000.0,15360000,1.0,25.63657249853949,
spec_fp16,speculative_fp16,none,mt-006,short,1,0.0,16,0,25190400.0,25190400,1.0,25.937084502462543,
spec_fp16,speculative_fp16,none,mt-006,short,1,0.0,16,1,15360000.0,15360000,1.0,26.086957450377504,
spec_fp16,speculative_fp16,none,mt-006,short,1,0.0,16,1,25190400.0,25190400,1.0,26.46653701363069,
spec_fp16,speculative_fp16,none,mt-007,short,1,0.0,16,0,14745600.0,14745600,1.0,26.26469313313823,
spec_fp16,speculative_fp16,none,mt-007,short,1,0.0,16,0,24576000.0,24576000,1.0,26.80572048163798,
spec_fp16,speculative_fp16,none,mt-007,short,1,0.0,16,1,14745600.0,14745600,1.0,26.30348100201835,
spec_fp16,speculative_fp16,none,mt-007,short,1,0.0,16,1,24576000.0,24576000,1.0,26.74118878876373,
spec_fp16,speculative_fp16,none,mt-008,short,1,0.0,16,0,14438400.0,14438400,1.0,25.86919703738324,
spec_fp16,speculative_fp16,none,mt-008,short,1,0.0,16,0,24268800.0,24268800,1.0,26.86803992793022,
spec_fp16,speculative_fp16,none,mt-008,short,1,0.0,16,1,14438400.0,14438400,1.0,25.65719578028565,
spec_fp16,speculative_fp16,none,mt-008,short,1,0.0,16,1,24268800.0,24268800,1.0,27.02787203611509,
spec_fp16,speculative_fp16,none,mt-009,short,1,0.0,16,0,13824000.0,13824000,1.0,26.339365198317477,
spec_fp16,speculative_fp16,none,mt-009,short,1,0.0,16,0,23654400.0,23654400,1.0,26.554041637932723,
spec_fp16,speculative_fp16,none,mt-009,short,1,0.0,16,1,13824000.0,13824000,1.0,25.614517632371545,
spec_fp16,speculative_fp16,none,mt-009,short,1,0.0,16,1,23654400.0,23654400,1.0,26.650029630605022,
spec_fp16,speculative_fp16,none,mt-010,short,1,0.0,16,0,14438400.0,14438400,1.0,25.543691771948176,
spec_fp16,speculative_fp16,none,mt-010,short,1,0.0,16,0,24268800.0,24268800,1.0,26.189032103054668,
spec_fp16,speculative_fp16,none,mt-010,short,1,0.0,16,1,14438400.0,14438400,1.0,25.82242734478888,
spec_fp16,speculative_fp16,none,mt-010,short,1,0.0,16,1,24268800.0,24268800,1.0,26.76212221676185,
spec_fp16,speculative_fp16,none,mt-011,short,1,0.0,16,0,15667200.0,15667200,1.0,25.449092480391705,
spec_fp16,speculative_fp16,none,mt-011,short,1,0.0,16,0,25497600.0,25497600,1.0,27.12760930588603,
spec_fp16,speculative_fp16,none,mt-011,short,1,0.0,16,1,15667200.0,15667200,1.0,25.51909235057542,
spec_fp16,speculative_fp16,none,mt-011,short,1,0.0,16,1,25497600.0,25497600,1.0,26.86044461806345,
spec_fp16,speculative_fp16,none,mt-012,short,1,0.0,16,0,15360000.0,15360000,1.0,25.303565131259656,
spec_fp16,speculative_fp16,none,mt-012,short,1,0.0,16,0,25190400.0,25190400,1.0,27.01344172991065,
spec_fp16,speculative_fp16,none,mt-012,short,1,0.0,16,1,15360000.0,15360000,1.0,25.98760620686971,
