benchmark_label,mode,spec_k,sparsity_budget,quant_bits_requested,context_bucket,draft_cache_mode_resolved,n_rows,is_parallel_verification,quantization_type,mean_latency_e2e_s,std_latency_e2e_s,mean_latency_per_new_token_s,mean_memory_throughput_gb_s,mean_gpu_peak_memory_bytes_after_run,mean_draft_latency_total_s,mean_verify_latency_total_s,mean_acceptance_rate,mean_tokens_per_sec,mean_logical_draft_kv_bytes,gpu_torch_name
ar,autoregressive,0,0.0,-1,medium,n/a,6,false,none,0.18516805716667287,0.0014219834691914653,0.005786501786458527,44.528918582887684,302857216.0,,,,172.82438540049498,8773632.0,NVIDIA A10G
ar,autoregressive,0,0.0,-1,short,n/a,45,false,none,0.18657113355555635,0.0026633252525003763,0.005830347923611136,43.03238051649119,277492189.8666667,,,,171.5506946599878,1963622.4,NVIDIA A10G
spec_fp16,speculative_fp16,1,0.0,16,medium,fp16,6,true,none,0.4207275313333412,0.0033965902927949963,0.013147735354166912,19.600734616648317,352530432.0,0.1889876424999386,0.2013596894999997,1.0,76.0629077156285,8810496.0,NVIDIA A10G
spec_fp16,speculative_fp16,1,0.0,16,short,fp16,45,true,none,0.4167632973777807,0.00479677183913934,0.013023853043055646,19.265633431387634,288351880.53333336,0.18781746393332177,0.20015359840000807,1.0,76.79217362201118,2000486.4,NVIDIA A10G
spec_fp16,speculative_fp16,3,0.0,16,medium,fp16,6,true,none,0.28426174583332414,0.0033680954279196834,0.00888317955729138,29.012083448158233,352474624.0,0.1865862856667301,0.08198591516656961,1.0,112.58570197054621,8810496.0,NVIDIA A10G
spec_fp16,speculative_fp16,3,0.0,16,short,fp16,45,true,none,0.2840948889111107,0.009321765207600812,0.008877965278472209,28.286964757849415,288699084.8,0.1861726335999947,0.08351977859999302,0.9860331253713607,112.74968396139808,2000486.4,NVIDIA A10G
spec_fp16,speculative_fp16,7,0.0,16,medium,fp16,6,true,none,0.23595552266666195,0.0005738368982244439,0.007373610083333186,34.947796610986614,352362496.0,0.18568179416661224,0.0386746894999798,1.0,135.61944881864565,8810496.0,NVIDIA A10G
spec_fp16,speculative_fp16,7,0.0,16,short,fp16,45,true,none,0.23885019879999922,0.016873176973979442,0.007464068712499976,33.75048205779593,288607470.93333334,0.18817443648888962,0.040380061666660874,0.9734105763517529,134.52601181564793,2000486.4,NVIDIA A10G
spec_quant_memonly,quant_only,1,0.0,16,medium,fp16,6,true,none,0.3845375306667241,0.006176507732679794,0.012016797833335128,21.448751205306895,352530432.0,0.1725434249956379,0.18389380166778815,1.0,83.23458726423817,8810496.0,NVIDIA A10G
spec_quant_memonly,quant_only,1,0.0,16,short,fp16,45,true,none,0.3829057121555606,0.00624156875113427,0.011965803504861268,20.9719029784772,288654165.3333333,0.172636786799679,0.18370507564508848,1.0,83.59300104068183,2000486.4,NVIDIA A10G
