prompt_id,context_bucket,trial_index,spec_k,acceptance_rate,tokens_per_sec,tokens_per_sec_ar,actual_speedup_tps_ratio,theoretical_speedup_factor,system_overhead_ratio
mt-long-01,medium,0,1,1.0,75.93840660520027,172.806696501474,0.43944134193059203,1.0,0.43944134193059203
mt-long-01,medium,1,1,1.0,75.66964741230697,173.64354492163562,0.4357757580130967,1.0,0.4357757580130967
mt-long-01,medium,2,1,1.0,75.70399080968308,170.22847134488333,0.44471991207808353,1.0,0.44471991207808353
mt-long-02,medium,0,1,1.0,75.79591514022053,173.61875591263174,0.4365652474687843,1.0,0.4365652474687843
mt-long-02,medium,1,1,1.0,75.96109322179238,173.1289228274938,0.43875449567418756,1.0,0.43875449567418756
mt-long-02,medium,2,1,1.0,77.30839310456776,173.51992089485137,0.44553036162006243,1.0,0.44553036162006243
mt-long-01,medium,0,3,1.0,112.14309430800344,172.806696501474,0.6489510914702712,1.0,0.6489510914702712
mt-long-01,medium,1,3,1.0,115.27345381248546,173.64354492163562,0.6638510741329758,1.0,0.6638510741329758
mt-long-01,medium,2,3,1.0,111.95307442108395,170.22847134488333,0.6576636301589452,1.0,0.6576636301589452
mt-long-02,medium,0,3,1.0,111.57039801506396,173.61875591263174,0.6426171955247064,1.0,0.6426171955247064
mt-long-02,medium,1,3,1.0,112.58344416616416,173.1289228274938,0.6502867477454513,1.0,0.6502867477454513
mt-long-02,medium,2,3,1.0,111.99074710047628,173.51992089485137,0.6454057062897107,1.0,0.6454057062897107
mt-long-01,medium,0,7,1.0,136.17661306680122,172.806696501474,0.7880285650020494,1.0,0.7880285650020494
mt-long-01,medium,1,7,1.0,135.39652876893734,173.64354492163562,0.7797383359689014,1.0,0.7797383359689014
mt-long-01,medium,2,7,1.0,135.2194548579451,170.22847134488333,0.7943410041202222,1.0,0.7943410041202222
mt-long-02,medium,0,7,1.0,135.7443716968776,173.61875591263174,0.7818531528079072,1.0,0.7818531528079072
mt-long-02,medium,1,7,1.0,135.52706705077154,173.1289228274938,0.7828100864799531,1.0,0.7828100864799531
mt-long-02,medium,2,7,1.0,135.65265747054107,173.51992089485137,0.7817699361028588,1.0,0.7817699361028588
mt-001,short,0,1,1.0,78.05409673329872,170.4168691653997,0.4580186052916075,1.0,0.4580186052916075
mt-001,short,1,1,1.0,76.74553461503139,170.21125306912964,0.45088402341919154,1.0,0.45088402341919154
mt-001,short,2,1,1.0,74.48017186653516,175.9075173264046,0.4234052813577815,1.0,0.4234052813577815
mt-002,short,0,1,1.0,78.64214448300663,171.4426554427321,0.4587081568465083,1.0,0.4587081568465083
mt-002,short,1,1,1.0,76.91403471686783,176.70795541920253,0.4352607359097412,1.0,0.4352607359097412
mt-002,short,2,1,1.0,76.56773398410812,176.4497687843735,0.4339350202134637,1.0,0.4339350202134637
mt-003,short,0,1,1.0,78.02458848837988,170.90527412820975,0.45653704302798387,1.0,0.45653704302798387
